basis_of_record	specific_epithet	species_id	country_code	latitude	longitude	year	coordinate_precision
UNKNOWN	Ursus arctos	2433433	NO	64,19036	14,15394	2007	100
PRESERVED_SPECIMEN	Ursus arctos	2433433	MN	43,35391	96,34415	2013	
OBSERVATION	Ursus arctos	2433433	US	44,84509	-110,7342	2011	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	57,53861	-154,02722	1953	
UNKNOWN	Ursus arctos	2433433	US	44,42281	-110,58745	2000	
UNKNOWN	Ursus arctos	2433433	US	48,24529	-114,29582	2000	
UNKNOWN	Ursus arctos	2433433	NO	65,57147	13,82329	2009	100
UNKNOWN	Ursus arctos	2433433	NO	63,1113	10,98245	2009	100
UNKNOWN	Ursus arctos	2433433	NO	60,92966	11,1698	2010	100
UNKNOWN	Ursus arctos	2433433	NO	64,04138	11,91545	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,2247	12,69696	2010	100
UNKNOWN	Ursus arctos	2433433	NO	62,69584	11,75204	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,40017	9,74847	2011	100
UNKNOWN	Ursus arctos	2433433	NO	63,95618	11,88181	2011	100
UNKNOWN	Ursus arctos	2433433	NO	65,46841	14,09284	2011	100
UNKNOWN	Ursus arctos	2433433	NO	64,15323	14,02542	2011	100
OBSERVATION	Ursus arctos	2433433	EE	59,12581	25,51495	1986	
UNKNOWN	Ursus arctos	2433433	NO	61,0965	10,83088	2012	100
UNKNOWN	Ursus arctos	2433433	NO	60,45107	12,25302	2002	100
UNKNOWN	Ursus arctos	2433433	NO	64,0183	12,68988	2002	100
UNKNOWN	Ursus arctos	2433433	NO	63,32011	11,7453	2002	100
UNKNOWN	Ursus arctos	2433433	NO	68,98135	19,51593	2002	100
UNKNOWN	Ursus arctos	2433433	NO	65,38432	14,24049	2002	100
UNKNOWN	Ursus arctos	2433433	NO	64,64731	13,62096	2002	50
UNKNOWN	Ursus arctos	2433433	NO	62,11016	11,14254	2003	100
UNKNOWN	Ursus arctos	2433433	NO	63,0887	10,97256	2003	100
UNKNOWN	Ursus arctos	2433433	NO	63,31684	11,729	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,11748	10,75001	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,18993	10,54667	2003	100
UNKNOWN	Ursus arctos	2433433	NO	63,33408	11,98846	2003	100
UNKNOWN	Ursus arctos	2433433	NO	68,83888	18,46754	2002	100
UNKNOWN	Ursus arctos	2433433	NO	61,10553	11,12431	2004	100
UNKNOWN	Ursus arctos	2433433	NO	60,15254	8,95857	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,5158	9,26344	2004	50
UNKNOWN	Ursus arctos	2433433	NO	65,47292	13,32027	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,14838	11,27959	2004	100
UNKNOWN	Ursus arctos	2433433	NO	60,68732	10,42089	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,40584	11,45403	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,67192	13,5117	2005	50
UNKNOWN	Ursus arctos	2433433	NO	61,12759	11,25951	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,17919	11,51703	2006	100
UNKNOWN	Ursus arctos	2433433	NO	68,82956	18,10853	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,14502	11,41317	2006	100
UNKNOWN	Ursus arctos	2433433	NO	61,50775	12,09066	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,66784	12,60331	2006	100
UNKNOWN	Ursus arctos	2433433	NO	62,80516	10,49585	2006	50
UNKNOWN	Ursus arctos	2433433	NO	69,70476	29,49557	2006	50
UNKNOWN	Ursus arctos	2433433	NO	64,55636	12,38351	2007	100
UNKNOWN	Ursus arctos	2433433	NO	64,6515	12,59219	2007	100
UNKNOWN	Ursus arctos	2433433	NO	62,19054	11,22702	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,48849	12,22499	2007	100
UNKNOWN	Ursus arctos	2433433	NO	69,97026	25,2654	2007	100
UNKNOWN	Ursus arctos	2433433	NO	69,73933	29,44277	2007	50
UNKNOWN	Ursus arctos	2433433	NO	62,9961	10,62866	2007	100
UNKNOWN	Ursus arctos	2433433	NO	60,83479	11,4633	2008	100
UNKNOWN	Ursus arctos	2433433	NO	64,04523	12,32294	2008	100
UNKNOWN	Ursus arctos	2433433	NO	68,73996	18,72459	2008	100
UNKNOWN	Ursus arctos	2433433	NO	61,0895	10,93589	2008	100
UNKNOWN	Ursus arctos	2433433	NO	62,29078	10,95933	2008	100
UNKNOWN	Ursus arctos	2433433	NO	61,45377	12,215	2008	100
UNKNOWN	Ursus arctos	2433433	NO	61,47022	12,21306	2008	100
UNKNOWN	Ursus arctos	2433433	NO	70,26604	28,26774	2009	100
UNKNOWN	Ursus arctos	2433433	NO	61,08976	11,03979	2009	100
UNKNOWN	Ursus arctos	2433433	NO	62,13725	10,25049	2009	100
UNKNOWN	Ursus arctos	2433433	NO	63,15265	10,41779	2009	100
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	SK	48,59723	19,63574	2005	15
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	DE	48,4038	9,77417		
PRESERVED_SPECIMEN	Ursus arctos Linnaeus, 1758	2433433	NO	60,26833	8,32541		51192
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	ES	43,12	-4,29	2007	7071
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	57,86556	-134,28472	1907	
PRESERVED_SPECIMEN	Ursus arctos	2433433	MN	43,25237	97,94741	2013	
PRESERVED_SPECIMEN	Ursus arctos	2433433	MN	43,21941	97,85915	2013	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	60,50417	-151,24056	2008	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	60,54389	-151,09917	2009	
OBSERVATION	Ursus arctos	2433433	US	63,71656	-149,00173	2005	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	58	-154	1964	
PRESERVED_SPECIMEN	Ursus arctos	2433433	US	55,49	-161,46306	1931	
OBSERVATION	Ursus arctos	2433433	EE	58,59396	26,39812	1986	
OBSERVATION	Ursus arctos	2433433	EE	58,77481	26,74059	1986	
OBSERVATION	Ursus arctos	2433433	EE	59,22338	26,56198	1986	
UNKNOWN	Ursus arctos	2433433	NO	62,93109	11,33355	2009	100
UNKNOWN	Ursus arctos	2433433	NO	62,63982	11,91524	2009	100
UNKNOWN	Ursus arctos	2433433	NO	64,5102	12,46026	2010	100
UNKNOWN	Ursus arctos	2433433	NO	62,68891	11,61022	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,27859	10,47534	2010	100
UNKNOWN	Ursus arctos	2433433	NO	61,81215	10,95278	2010	100
UNKNOWN	Ursus arctos	2433433	NO	62,21716	10,84642	2010	100
UNKNOWN	Ursus arctos	2433433	NO	62,30552	10,96117	2010	100
UNKNOWN	Ursus arctos	2433433	NO	69,73082	29,6045	2011	100
UNKNOWN	Ursus arctos	2433433	NO	64,8828	13,18865	2011	100
UNKNOWN	Ursus arctos	2433433	NO	61,47522	12,19417	2011	100
UNKNOWN	Ursus arctos	2433433	NO	69,71615	29,57141	2011	100
UNKNOWN	Ursus arctos	2433433	NO	64,63411	12,51084	2011	100
UNKNOWN	Ursus arctos	2433433	NO	64,63653	12,51495	2011	100
UNKNOWN	Ursus arctos	2433433	NO	60,51653	9,3843	2012	100
UNKNOWN	Ursus arctos	2433433	NO	69,5202	19,29164	2001	100
UNKNOWN	Ursus arctos	2433433	NO	64,67475	13,67332	2009	100
UNKNOWN	Ursus arctos	2433433	NO	61,53524	10,39363	2002	100
UNKNOWN	Ursus arctos	2433433	NO	61,16083	11,20426	2002	100
UNKNOWN	Ursus arctos	2433433	NO	64,15969	13,98831	2002	100
UNKNOWN	Ursus arctos	2433433	NO	63,34909	11,87004	2002	100
UNKNOWN	Ursus arctos	2433433	NO	63,34246	11,70345	2002	100
UNKNOWN	Ursus arctos	2433433	NO	64,64076	13,22954	2002	100
UNKNOWN	Ursus arctos	2433433	NO	63,1849	11,08841	2002	100
UNKNOWN	Ursus arctos	2433433	NO	62,48004	10,72505	2003	50
UNKNOWN	Ursus arctos	2433433	NO	62,29181	10,66566	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,74162	11,80703	2003	50
UNKNOWN	Ursus arctos	2433433	NO	64,43198	13,50474	2003	50
UNKNOWN	Ursus arctos	2433433	NO	64,43096	13,49234	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,18111	10,53277	2003	100
UNKNOWN	Ursus arctos	2433433	NO	60,99798	11,32798	2003	100
UNKNOWN	Ursus arctos	2433433	NO	60,48399	12,15192	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,6142	11,06379	2003	100
UNKNOWN	Ursus arctos	2433433	NO	62,90571	11,16562	2003	50
OBSERVATION	Ursus arctos	2433433	NO	64,0043	12,44348	2009	17677
OBSERVATION	Ursus arctos Linnaeus, 1758	2433433	RU	63,69	58,29294	2010	
UNKNOWN	Ursus arctos	2433433	NO	62,56593	9,57818	2004	100
