y,x,bio5,bio14,ndvi_average,landcover_veg_tree,diversidad_topo,bio6,human_footprint,ndvi_range,presencia
49.733,11.467,224,43,0.699999988079071,50.7000007629395,44,-40,31.8999996185303,0.230000004172325,1
50.8717,20.5717,224,29,0.540000021457672,32.439998626709,37,-88,58.2099990844727,0.540000021457672,1
42.94,-4.16,230,41,0.509999990463257,34.7999992370605,96,-3,43.1300010681152,0.239999994635582,1
61.70704,8.29687,122,43,0.0599999986588955,10.3800001144409,352,-126,13.5900001525879,0.579999983310699,1
48.62683,19.38819,225,45,0.610000014305115,37.9300003051758,242,-83,39.0900001525879,0.600000023841858,1
69.33833,29.37283,145,21,0.219999998807907,21.8199996948242,52,-127,16.7900009155273,0.819999992847443,1
61.29629,11.47328,193,23,0.409999996423721,53.4700012207031,102,-116,22.6900005340576,0.720000028610229,1
59.04424,26.73855,213,27,0.509999990463257,63.3400001525879,9,-101,23.0200004577637,0.790000021457672,1
60.70081,9.29489,159,37,0.239999994635582,21,85,-143,21.3899993896484,0.879999995231628,1
59.48075,7.81358,144,57,0.200000002980232,19.2700004577637,164,-95,10.1400003433228,0.829999983310699,1
42.57,-5.01,264,29,0.400000005960464,11.3999996185303,50,-10,33.1599998474121,0.230000004172325,1
48.0883,9.2167,227,56,0.639999985694885,42.6399993896484,57,-38,46.7299995422363,0.389999985694885,1
58.05618,27.25418,218,27,0.430000007152557,44.689998626709,7,-101,33.0800018310547,0.829999983310699,1
42.57,-6.75,268,20,0.579999983310699,25.3799991607666,137,10,54.0800018310547,0.170000001788139,1
