Species,Lon,Lat
Ursus arctos,29.30878,62.64032
Ursus arctos,9.08815,60.113
Ursus arctos,19.07296,69.22134
Ursus arctos,8.18767,59.63999
Ursus arctos,27.61174,59.13281
Ursus arctos,-6.86,42.93
Ursus arctos,27.4236,58.05573
Ursus arctos,11.65,50.708
Ursus arctos,4.0945,51.0383
Ursus arctos,0.74,42.84
Ursus arctos,-5.64,43.1
Ursus arctos,-4.77,42.57
Ursus arctos,17.383,49.433
Ursus arctos,30.68366,63.11086
Ursus arctos,-6.13,42.82
Ursus arctos,27.08776,59.22404
Ursus arctos,-5.03,43.2
Ursus arctos,11.31272,63.1802
Ursus arctos,17.82072,68.64139
Ursus arctos,8.29309,62.38889
Ursus arctos,25.50713,59.30536
Ursus arctos,25.3826,58.22591
Ursus arctos,-0.86,42.93
Ursus arctos,22.82469,58.94181
Ursus arctos,-0.91667,54.267
Ursus arctos,13.891,44.8762
Ursus arctos,11.68418,61.81777
Ursus arctos,6.46616,61.4487
Ursus arctos,27.08383,57.60742
Ursus arctos,27.26437,59.4034
Ursus arctos,4.5,50.9912
Ursus arctos,26.91308,58.95467
Ursus arctos,28.523,44.4242
Ursus arctos,12.7878,64.31996
Ursus arctos,9.26249,60.99268
Ursus arctos,13.39424,65.63975
Ursus arctos,-4.17,43.12
Ursus arctos,-6.38,42.56
Ursus arctos,11.43478,61.73799
Ursus arctos,11.30776,61.07647
Ursus arctos,28.97753,69.15464
Ursus arctos,27.26227,59.13399
Ursus arctos,26.20559,59.49144
Ursus arctos,7.8557,61.04366
Ursus arctos,12.05683,60.84939
Ursus arctos,25.6827,59.30725
Ursus arctos,36.55002,40.3167
Ursus arctos,13.17118,66.17502
Ursus arctos,13.32448,65.87862
Ursus arctos,20.587,44.29
Ursus arctos,-3.6667,50.5
Ursus arctos,27.08661,58.77499
Ursus arctos,-7.22,43.02
Ursus arctos,22.257,44.59
Ursus arctos,10.50855,64.18232
Ursus arctos,9.07005,63.00503
Ursus arctos,0.87,42.48
Ursus arctos,27.43816,59.22333
Ursus arctos,23.68568,58.83695
Ursus arctos,-6.96,43.38
Ursus arctos,26.91433,58.50556
Ursus arctos,-6.52,42.2
Ursus arctos,27.44049,59.40293
Ursus arctos,-5.88,43
Ursus arctos,25.34034,59.12369
Ursus arctos,11.21537,61.28619
Ursus arctos,10.54465,62.57348
Ursus arctos,10.08116,62.06865
Ursus arctos,21.725,44.657
Ursus arctos,-5.04,43.38
Ursus arctos,22.99835,58.93925
Ursus arctos,-6.61,42.83
Ursus arctos,23.52249,69.68039
Ursus arctos,22.6511,58.94418
Ursus arctos,-7.46,43.39
Ursus arctos,8.36165,59.41191
Ursus arctos,15.99933,66.98258
Ursus arctos,12.25083,61.07719
Ursus arctos,18.71758,69.47326
Ursus arctos,25.32281,59.48297
Ursus arctos,8.6333,47.7
Ursus arctos,25.19877,58.49297
Ursus arctos,14.292,47.676
Ursus arctos,25.52269,58.94625
Ursus arctos,25.69982,58.85833
Ursus arctos,1.23,42.57
Ursus arctos,28.60129,70.20652
Ursus arctos,0.74,42.66
Ursus arctos,26.41437,57.60602
Ursus arctos,26.74337,58.41551
Ursus arctos,27.0873,59.04442
Ursus arctos,19.10014,68.84714
Ursus arctos,10.13703,62.53772
Ursus arctos,-7.34,43.21
Ursus arctos,9.49171,61.11323
Ursus arctos,24.44779,59.37873
Ursus arctos,13.47591,66.1907
Ursus arctos,27.43587,59.04372
Ursus arctos,27.08606,58.5953
Ursus arctos,14.28365,66.08796
Ursus arctos,1.24,42.39
Ursus arctos,10.40734,63.18785
Ursus arctos,26.75,48.9667
Ursus arctos,-0.62,42.74
Ursus arctos,22.5,44.65
Ursus arctos,25.33159,59.30322
Ursus arctos,9.50487,59.95314
Ursus arctos,7.1667,50.717
Ursus arctos,25.22594,45.55191
Ursus arctos,25.15511,59.4059
Ursus arctos,26.40267,58.32452
Ursus arctos,11.31022,61.54512
Ursus arctos,24.3215,58.74724
Ursus arctos,8.62817,62.76053
Ursus arctos,-5.26,42.75
Ursus arctos,25.7326,57.96036
Ursus arctos,25.88196,58.59055
Ursus arctos,21.46601,69.52893
Ursus arctos,-6.35,43.28
Ursus arctos,25.37024,58.49525
Ursus arctos,9.54629,60.18554
Ursus arctos,13.33175,64.74876
Ursus arctos,10.42089,60.68732
Ursus arctos,19.63574,48.59723
Ursus arctos,19.29164,69.5202
Ursus arctos,9.62393,59.71466
Ursus arctos,21.65,44.4
Ursus arctos,23.7067,59.10607
Ursus arctos,15.14759,68.84937
Ursus arctos,22.63407,58.58505
Ursus arctos,11.98211,63.63347
Ursus arctos,11.65099,61.56511
Ursus arctos,22.47729,58.94624
Ursus arctos,11.06355,60.62777
Ursus arctos,24.08389,68.96563
Ursus arctos,16.59886,67.96313
Ursus arctos,9.78833,62.68083
Ursus arctos,24.30107,59.01654
Ursus arctos,26.74912,57.60707
Ursus arctos,26.04148,59.04096
Ursus arctos,1.72,42.49
Ursus arctos,-4.65,42.94
Ursus arctos,-5.28,43.29
Ursus arctos,-0.86,42.75
Ursus arctos,8.9833,48.05
Ursus arctos,7.83195,58.79666
Ursus arctos,11.23381,61.81326
Ursus arctos,14.9133,67.06715
Ursus arctos,24.71373,58.03626
Ursus arctos,22.5917,46.525
Ursus arctos,19.767,50.2192
Ursus arctos,26.0264,59.57967
Ursus arctos,27.75865,57.87452
Ursus arctos,10.6,50.85
Ursus arctos,0.18333,51.45
Ursus arctos,-7.11,42.75
Ursus arctos,0.03333,52.117
Ursus arctos,22.30356,58.94811
Ursus arctos,12.87228,64.06658
Ursus arctos,14.02296,66.21924
Ursus arctos,-0.37,42.74
Ursus arctos,6.8667,47.1
Ursus arctos,15.8707,45.839
Ursus arctos,8.65476,60.61001
Ursus arctos,19.6892,43.6187
Ursus arctos,12.98323,65.16632
